Size, Seq, Par, Libc
100, 0.000010, 0.013417, 0.000011
100, 0.000009, 0.021000, 0.000013
100, 0.000012, 0.014127, 0.000012
100, 0.000010, 0.014351, 0.000013
100, 0.000010, 0.021819, 0.000013
100, 0.000010, 0.005487, 0.000012
100, 0.000010, 0.008308, 0.000013
100, 0.000010, 0.012151, 0.000016
100, 0.000010, 0.006270, 0.000011
100, 0.000010, 0.004194, 0.000010
100, 0.000012, 0.006190, 0.000011
100, 0.000010, 0.004218, 0.000011
100, 0.000010, 0.008636, 0.000012
100, 0.000010, 0.004595, 0.000011
100, 0.000009, 0.005520, 0.000048
100, 0.000009, 0.004583, 0.000011
100, 0.000010, 0.005381, 0.000015
100, 0.000010, 0.006448, 0.000017
100, 0.000010, 0.006650, 0.000012
100, 0.000010, 0.006510, 0.000011
100, 0.000019, 0.004389, 0.000011
100, 0.000011, 0.009061, 0.000012
100, 0.000010, 0.004450, 0.000011
100, 0.000009, 0.004846, 0.000010
100, 0.000010, 0.007329, 0.000011
100, 0.000010, 0.004563, 0.000013
100, 0.000009, 0.009002, 0.000012
100, 0.000009, 0.004527, 0.000011
100, 0.000009, 0.005952, 0.000012
100, 0.000009, 0.004691, 0.000012
100, 0.000009, 0.004898, 0.000012
100, 0.000010, 0.006241, 0.000014
100, 0.000011, 0.008127, 0.000012
100, 0.000010, 0.006914, 0.000038
100, 0.000010, 0.004946, 0.000012
100, 0.000010, 0.007954, 0.000011
100, 0.000010, 0.004331, 0.000010
100, 0.000012, 0.006385, 0.000012
100, 0.000009, 0.005438, 0.000011
100, 0.000009, 0.004263, 0.000012
100, 0.000010, 0.011772, 0.000012
100, 0.000010, 0.006503, 0.000015
100, 0.000010, 0.004841, 0.000010
100, 0.000009, 0.006776, 0.000015
100, 0.000012, 0.007925, 0.000011
100, 0.000009, 0.003518, 0.000009
100, 0.000009, 0.005637, 0.000012
100, 0.000010, 0.004271, 0.000015
100, 0.000010, 0.014338, 0.000011
100, 0.000010, 0.009177, 0.000012
1000, 0.000123, 0.037055, 0.000243
1000, 0.000155, 0.022736, 0.000214
1000, 0.000138, 0.026481, 0.000193
1000, 0.000124, 0.020935, 0.000199
1000, 0.000162, 0.027022, 0.000264
1000, 0.000153, 0.019171, 0.000202
1000, 0.000120, 0.033435, 0.000493
1000, 0.000122, 0.088895, 0.000215
1000, 0.000118, 0.096743, 0.000427
1000, 0.000118, 0.099388, 0.000211
1000, 0.000134, 0.067610, 0.000261
1000, 0.000118, 0.055646, 0.000331
1000, 0.000366, 0.024238, 0.000190
1000, 0.000117, 0.016766, 0.000200
1000, 0.000464, 0.019525, 0.001691
1000, 0.000160, 0.015759, 0.000241
1000, 0.000123, 0.020001, 0.000191
1000, 0.000146, 0.021086, 0.000186
1000, 0.000117, 0.018296, 0.000451
1000, 0.000224, 0.016235, 0.000246
1000, 0.000113, 0.018625, 0.000639
1000, 0.000114, 0.035442, 0.000188
1000, 0.000132, 0.026118, 0.000192
1000, 0.000151, 0.018592, 0.000208
1000, 0.000218, 0.019723, 0.000226
1000, 0.000113, 0.018677, 0.000202
1000, 0.000136, 0.019161, 0.000191
1000, 0.000151, 0.023734, 0.000205
1000, 0.000237, 0.038738, 0.000240
1000, 0.000135, 0.027313, 0.000219
1000, 0.000117, 0.023032, 0.000222
