Size, Seq, Par, Libc
100, 0.000009, 0.004379, 0.000012
100, 0.000008, 0.005775, 0.000011
100, 0.000034, 0.004651, 0.000011
100, 0.000009, 0.005163, 0.000013
100, 0.000010, 0.006212, 0.000011
100, 0.000009, 0.004304, 0.000010
100, 0.000009, 0.005396, 0.000011
100, 0.000008, 0.004294, 0.000011
100, 0.000010, 0.005272, 0.000012
100, 0.000008, 0.005968, 0.000012
100, 0.000009, 0.004480, 0.000011
100, 0.000010, 0.005273, 0.000011
100, 0.000009, 0.004596, 0.000011
100, 0.000023, 0.004237, 0.000010
100, 0.000009, 0.005016, 0.000014
100, 0.000008, 0.005191, 0.000011
100, 0.000008, 0.004723, 0.000011
100, 0.000009, 0.004784, 0.000011
100, 0.000009, 0.004476, 0.000011
100, 0.000009, 0.004492, 0.000011
100, 0.000009, 0.005730, 0.000149
100, 0.000011, 0.005638, 0.000012
100, 0.000010, 0.006861, 0.000011
100, 0.000009, 0.004601, 0.000011
100, 0.000009, 0.007211, 0.000011
100, 0.000009, 0.004612, 0.000010
100, 0.000009, 0.006212, 0.000011
100, 0.000008, 0.004829, 0.000013
100, 0.000008, 0.005778, 0.000042
100, 0.000009, 0.005228, 0.000011
100, 0.000009, 0.006023, 0.000012
100, 0.000010, 0.005624, 0.000012
100, 0.000009, 0.004653, 0.000014
100, 0.000009, 0.005602, 0.000010
100, 0.000009, 0.004375, 0.000010
100, 0.000009, 0.005530, 0.000011
100, 0.000009, 0.006620, 0.000014
100, 0.000011, 0.006766, 0.000012
100, 0.000008, 0.009395, 0.000014
100, 0.000009, 0.006016, 0.000012
100, 0.000008, 0.004455, 0.000011
100, 0.000009, 0.004848, 0.000014
100, 0.000009, 0.004956, 0.000011
100, 0.000009, 0.004213, 0.000011
100, 0.000009, 0.006554, 0.000012
100, 0.000008, 0.004912, 0.000011
100, 0.000009, 0.005890, 0.000011
100, 0.000010, 0.005691, 0.000011
100, 0.000008, 0.005177, 0.000011
100, 0.000010, 0.005692, 0.000011
1000, 0.000111, 0.014617, 0.000256
1000, 0.000112, 0.014037, 0.000205
1000, 0.000119, 0.014792, 0.000190
1000, 0.000175, 0.016141, 0.000211
1000, 0.000133, 0.017562, 0.000210
1000, 0.000116, 0.014257, 0.000233
1000, 0.000150, 0.015161, 0.000235
1000, 0.000116, 0.014097, 0.000227
1000, 0.000112, 0.023370, 0.000238
1000, 0.000407, 0.018068, 0.000235
1000, 0.000115, 0.015537, 0.000292
1000, 0.000116, 0.041511, 0.000179
1000, 0.000159, 0.036507, 0.000190
1000, 0.000114, 0.017729, 0.000213
1000, 0.000132, 0.016794, 0.000232
1000, 0.000142, 0.017327, 0.000188
1000, 0.000311, 0.022920, 0.000190
1000, 0.000120, 0.013411, 0.000184
