Size, Seq, Par, Libc
100, 0.000010, 0.003204, 0.000021
100, 0.000009, 0.003810, 0.000012
100, 0.000009, 0.004117, 0.000025
100, 0.000012, 0.005806, 0.000014
100, 0.000009, 0.004277, 0.000011
100, 0.000011, 0.014063, 0.000012
100, 0.000011, 0.006116, 0.000012
100, 0.000009, 0.015546, 0.000011
100, 0.000011, 0.012834, 0.000011
100, 0.000009, 0.009113, 0.000013
100, 0.000010, 0.009251, 0.000012
100, 0.000010, 0.013691, 0.000011
100, 0.000009, 0.008155, 0.000052
100, 0.000010, 0.008507, 0.000011
100, 0.000010, 0.012660, 0.000021
100, 0.000009, 0.008869, 0.000012
100, 0.000010, 0.008868, 0.000013
100, 0.000008, 0.008839, 0.000012
100, 0.000010, 0.008854, 0.000012
100, 0.000009, 0.004802, 0.000042
100, 0.000012, 0.005427, 0.000016
100, 0.000009, 0.004489, 0.000011
100, 0.000009, 0.004294, 0.000011
100, 0.000009, 0.003887, 0.000010
100, 0.000011, 0.004994, 0.000011
100, 0.000009, 0.004932, 0.000011
100, 0.000009, 0.004461, 0.000012
100, 0.000009, 0.005536, 0.000011
100, 0.000009, 0.005279, 0.000011
100, 0.000009, 0.004170, 0.000010
100, 0.000009, 0.004600, 0.000012
100, 0.000009, 0.004684, 0.000010
100, 0.000012, 0.005556, 0.000011
100, 0.000009, 0.005215, 0.000011
100, 0.000009, 0.004790, 0.000011
100, 0.000009, 0.005202, 0.000012
100, 0.000009, 0.004694, 0.000011
100, 0.000009, 0.004481, 0.000011
100, 0.000024, 0.005297, 0.000012
100, 0.000009, 0.005478, 0.000011
100, 0.000009, 0.005727, 0.000011
100, 0.000009, 0.004808, 0.000011
100, 0.000009, 0.004089, 0.000011
100, 0.000010, 0.007256, 0.000011
100, 0.000010, 0.005322, 0.000100
100, 0.000009, 0.004087, 0.000011
100, 0.000010, 0.005042, 0.000012
100, 0.000009, 0.004227, 0.000011
100, 0.000009, 0.004466, 0.000011
100, 0.000009, 0.004607, 0.000011
1000, 0.000115, 0.044477, 0.000194
1000, 0.000166, 0.043281, 0.000188
1000, 0.000151, 0.041334, 0.000238
1000, 0.000115, 0.040953, 0.000189
1000, 0.000156, 0.027660, 0.000185
1000, 0.000137, 0.023088, 0.000186
1000, 0.000120, 0.019427, 0.000198
1000, 0.000150, 0.038434, 0.000225
1000, 0.000145, 0.020313, 0.000189
1000, 0.000371, 0.024609, 0.000470
1000, 0.000119, 0.019180, 0.000192
1000, 0.000384, 0.023366, 0.000185
1000, 0.000121, 0.019316, 0.000187
1000, 0.000885, 0.045663, 0.000205
1000, 0.000125, 0.045568, 0.000187
1000, 0.000139, 0.019067, 0.000184
1000, 0.000116, 0.034091, 0.000200
1000, 0.000116, 0.052561, 0.000189
1000, 0.000350, 0.021595, 0.000211
1000, 0.000119, 0.020616, 0.000414
1000, 0.000140, 0.039004, 0.000185
1000, 0.000181, 0.022279, 0.000205
1000, 0.000111, 0.017071, 0.000258
1000, 0.000114, 0.033394, 0.000190
1000, 0.000143, 0.038792, 0.000311
1000, 0.000115, 0.036590, 0.000210
1000, 0.000115, 0.072502, 0.000273
1000, 0.000133, 0.053051, 0.000241
1000, 0.000118, 0.022221, 0.000333
1000, 0.000161, 0.026539, 0.000213
1000, 0.000141, 0.039106, 0.000193
1000, 0.000172, 0.031125, 0.000183
1000, 0.000111, 0.018926, 0.000207
1000, 0.000241, 0.039325, 0.000199
1000, 0.000115, 0.032247, 0.000184
1000, 0.000116, 0.040872, 0.000203
1000, 0.000111, 0.040218, 0.000195
1000, 0.000122, 0.042179, 0.000218
1000, 0.000121, 0.045550, 0.000275
1000, 0.000123, 0.022037, 0.000195
1000, 0.000119, 0.027509, 0.000188
1000, 0.000120, 0.034322, 0.000187
1000, 0.000111, 0.017960, 0.000205
1000, 0.000119, 0.019415, 0.000183
1000, 0.000142, 0.028144, 0.000511
1000, 0.000129, 0.023613, 0.000291
1000, 0.000111, 0.021124, 0.000233
1000, 0.000114, 0.031490, 0.000219
1000, 0.000116, 0.019016, 0.000226
1000, 0.000111, 0.018404, 0.000180
10000, 0.010588, 0.094252, 0.002052
10000, 0.001897, 0.105857, 0.001852
10000, 0.001501, 0.100948, 0.001625
10000, 0.005734, 0.075983, 0.001563
10000, 0.001620, 0.078129, 0.001832
10000, 0.001804, 0.059134, 0.001597
10000, 0.001805, 0.074352, 0.001707
10000, 0.002372, 0.110360, 0.005790
10000, 0.005306, 0.079189, 0.001687
10000, 0.001558, 0.072175, 0.001905
10000, 0.001626, 0.097922, 0.001581
10000, 0.001537, 0.060468, 0.001642
10000, 0.001730, 0.065112, 0.001547
10000, 0.001582, 0.084066, 0.001997
10000, 0.001621, 0.045694, 0.001843
10000, 0.001601, 0.050647, 0.002760
10000, 0.001958, 0.110652, 0.005939
10000, 0.005612, 0.077918, 0.001762
10000, 0.001588, 0.064444, 0.001703
10000, 0.001775, 0.052361, 0.001945
10000, 0.001606, 0.058128, 0.001525
10000, 0.001754, 0.036427, 0.001771
10000, 0.001593, 0.088066, 0.001593
10000, 0.001830, 0.077655, 0.001673
10000, 0.001683, 0.050974, 0.001552
10000, 0.001895, 0.059856, 0.001563
10000, 0.001562, 0.025013, 0.001828
10000, 0.001892, 0.045572, 0.001550
10000, 0.001553, 0.041387, 0.001578
10000, 0.001813, 0.030085, 0.001705
10000, 0.001560, 0.039370, 0.001680
10000, 0.001675, 0.048527, 0.001662
10000, 0.002320, 0.029475, 0.002044
10000, 0.001925, 0.026031, 0.001844
10000, 0.001856, 0.040791, 0.001570
10000, 0.001692, 0.055152, 0.001830
10000, 0.001702, 0.032813, 0.001549
10000, 0.001878, 0.041365, 0.001701
10000, 0.006297, 0.056005, 0.001631
10000, 0.005821, 0.045224, 0.005858
10000, 0.001561, 0.099201, 0.001529
10000, 0.001601, 0.029546, 0.001921
10000, 0.001807, 0.063385, 0.001544
10000, 0.001506, 0.199007, 0.001538
10000, 0.001678, 0.077203, 0.001697
10000, 0.001700, 0.041751, 0.001524
10000, 0.001542, 0.050717, 0.001563
10000, 0.001539, 0.061496, 0.001714
10000, 0.001603, 0.041102, 0.001674
10000, 0.001763, 0.035969, 0.001567
100000, 0.021108, 0.092997, 0.019659
100000, 0.020517, 0.090862, 0.019194
100000, 0.021236, 0.125086, 0.039499
100000, 0.042264, 0.079004, 0.020194
100000, 0.021291, 0.151911, 0.043781
100000, 0.039948, 0.095239, 0.020600
100000, 0.020645, 0.068825, 0.019421
100000, 0.020570, 0.135806, 0.018928
100000, 0.023154, 0.092834, 0.019498
100000, 0.019527, 0.235343, 0.045408
100000, 0.021942, 0.089534, 0.019199
100000, 0.020487, 0.241710, 0.019867
100000, 0.020416, 0.118632, 0.021392
100000, 0.019875, 0.092077, 0.023408
100000, 0.024602, 0.073058, 0.018890
100000, 0.021105, 0.073350, 0.019991
100000, 0.031026, 0.217849, 0.020192
100000, 0.020618, 0.091957, 0.018970
100000, 0.041865, 0.182392, 0.019591
100000, 0.021376, 0.140613, 0.019801
100000, 0.020370, 0.118264, 0.019451
100000, 0.020276, 0.104448, 0.018996
100000, 0.020661, 0.176586, 0.037756
100000, 0.027033, 0.076262, 0.020405
100000, 0.020511, 0.153886, 0.037810
100000, 0.042439, 0.095824, 0.019816
100000, 0.020044, 0.110002, 0.019212
100000, 0.020497, 0.092233, 0.019457
100000, 0.019621, 0.087639, 0.020624
100000, 0.020231, 0.123478, 0.042383
100000, 0.039947, 0.148120, 0.019595
100000, 0.021095, 0.091358, 0.038227
100000, 0.048851, 0.190560, 0.021851
100000, 0.019793, 0.124749, 0.020449
100000, 0.020877, 0.103402, 0.019901
100000, 0.021249, 0.170615, 0.041958
100000, 0.039128, 0.103695, 0.019990
100000, 0.019939, 0.199391, 0.036590
100000, 0.020773, 0.065902, 0.019184
100000, 0.020429, 0.121445, 0.019198
100000, 0.021789, 0.137428, 0.019822
100000, 0.019588, 0.086920, 0.020226
100000, 0.026527, 0.175300, 0.030051
100000, 0.021524, 0.089723, 0.021993
100000, 0.020206, 0.205353, 0.027879
100000, 0.020808, 0.124201, 0.020639
100000, 0.020375, 0.090207, 0.019166
100000, 0.029510, 0.059457, 0.019540
100000, 0.020314, 0.105905, 0.020330
100000, 0.020206, 0.195837, 0.020283
1000000, 0.308825, 0.334457, 0.253398
1000000, 0.342948, 0.452758, 0.260271
1000000, 0.336473, 0.427143, 0.235832
1000000, 0.247312, 0.430146, 0.329282
1000000, 0.242640, 0.426532, 0.311481
1000000, 0.281816, 0.328301, 0.335349
1000000, 0.342683, 0.310027, 0.248377
1000000, 0.341870, 0.426051, 0.264694
1000000, 0.364106, 0.445516, 0.246688
1000000, 0.249276, 0.468283, 0.275345
1000000, 0.240571, 0.423981, 0.335829
1000000, 0.242509, 0.354051, 0.322758
1000000, 0.347576, 0.356042, 0.339536
1000000, 0.322287, 0.315598, 0.241493
1000000, 0.335551, 0.428912, 0.236282
1000000, 0.302746, 0.473203, 0.235490
1000000, 0.245334, 0.552827, 0.304597
1000000, 0.244965, 0.433524, 0.334685
1000000, 0.244860, 0.314604, 0.332332
1000000, 0.342858, 0.326349, 0.297383
1000000, 0.279552, 0.439346, 0.233270
1000000, 0.341978, 0.480839, 0.238055
1000000, 0.308427, 0.424304, 0.254760
1000000, 0.258773, 0.454219, 0.342241
1000000, 0.266547, 0.414965, 0.312392
1000000, 0.273069, 0.302281, 0.358771
1000000, 0.394329, 0.308120, 0.341345
1000000, 0.290912, 0.348229, 0.240491
1000000, 0.442579, 0.503909, 0.246263
1000000, 0.339576, 0.426873, 0.240290
1000000, 0.247515, 0.400306, 0.342503
1000000, 0.241221, 0.387816, 0.291421
1000000, 0.303155, 0.338262, 0.332352
1000000, 0.343845, 0.333305, 0.284399
1000000, 0.313354, 0.394331, 0.234398
1000000, 0.337251, 0.430687, 0.266613
1000000, 0.292845, 0.452658, 0.258979
1000000, 0.235586, 0.401837, 0.351596
1000000, 0.244082, 0.378642, 0.302948
1000000, 0.345020, 0.330870, 0.362029
1000000, 0.338481, 0.339742, 0.286477
1000000, 0.305171, 0.412627, 0.233864
1000000, 0.328944, 0.426021, 0.237658
1000000, 0.256045, 0.437824, 0.365882
1000000, 0.243161, 0.424195, 0.295173
1000000, 0.267405, 0.335221, 0.364922
1000000, 0.338980, 0.315752, 0.278260
1000000, 0.277500, 0.446648, 0.244358
1000000, 0.340664, 0.423622, 0.230249
1000000, 0.275960, 0.439809, 0.277525
10000000, 3.480966, 3.619518, 3.441975
10000000, 3.507857, 3.589484, 3.413667
10000000, 3.408697, 3.705179, 3.468284
10000000, 3.613414, 3.810516, 3.456889
10000000, 3.557416, 3.600627, 3.432190
10000000, 3.455001, 3.674188, 3.441573
10000000, 3.446141, 3.558524, 3.447451
10000000, 3.442737, 3.547956, 3.467607
10000000, 3.531497, 3.809710, 3.707145
10000000, 3.403906, 3.646880, 3.558972
10000000, 3.497684, 3.663151, 3.426096
10000000, 3.461148, 3.593885, 3.401411
10000000, 3.445221, 3.581172, 3.446433
10000000, 3.439444, 3.577383, 3.370080
10000000, 3.562878, 4.035835, 3.467288
10000000, 3.487410, 3.504519, 3.321071
10000000, 3.302871, 3.540399, 3.429577
10000000, 3.409584, 3.589319, 3.299058
10000000, 3.490773, 3.565612, 3.338141
10000000, 3.355661, 3.505892, 3.573844
10000000, 3.657552, 3.632341, 3.408510
10000000, 3.497247, 3.535860, 3.342726
10000000, 3.313774, 3.658486, 3.315701
10000000, 3.453903, 3.609179, 3.332964
10000000, 3.415837, 3.657908, 3.396140
10000000, 3.420122, 3.785423, 3.412549
10000000, 3.445509, 3.589534, 3.451584
10000000, 3.490138, 3.526853, 3.421811
10000000, 3.469999, 3.545235, 3.417031
10000000, 3.442311, 3.636605, 3.375670
10000000, 3.429682, 3.557225, 3.311166
10000000, 3.555021, 3.489506, 3.326333
10000000, 3.370390, 3.583175, 3.459954
10000000, 3.384058, 3.551097, 3.435701
10000000, 3.392423, 3.465895, 3.395399
10000000, 3.324425, 3.545958, 3.491450
10000000, 3.405266, 3.577685, 3.656229
10000000, 3.366519, 3.529434, 3.417326
10000000, 3.422536, 3.576367, 3.437109
10000000, 3.426396, 3.649848, 3.435559
10000000, 3.406865, 3.648492, 3.466288
10000000, 3.470571, 3.488083, 3.321604
10000000, 3.315928, 3.858811, 3.446951
10000000, 3.364552, 3.496794, 3.313842
10000000, 3.393168, 3.599080, 3.388952
10000000, 3.455162, 3.562152, 3.318285
10000000, 3.358450, 3.674904, 3.347636
10000000, 3.311596, 3.568542, 3.707271
10000000, 3.318576, 3.565599, 3.451775
10000000, 3.438148, 3.574295, 3.452005
