Size, Seq, Par, Libc
100, 0.000009, 0.012955, 0.000021
100, 0.000010, 0.004646, 0.000013
100, 0.000009, 0.007118, 0.000012
100, 0.000009, 0.006989, 0.000021
100, 0.000009, 0.005042, 0.000015
100, 0.000011, 0.006343, 0.000017
100, 0.000011, 0.006282, 0.000013
100, 0.000010, 0.005815, 0.000012
100, 0.000010, 0.005556, 0.000010
100, 0.000009, 0.004688, 0.000012
100, 0.000009, 0.005988, 0.000013
100, 0.000009, 0.005852, 0.000013
100, 0.000009, 0.005713, 0.000011
100, 0.000009, 0.004982, 0.000011
100, 0.000009, 0.005863, 0.000012
100, 0.000018, 0.006607, 0.000013
100, 0.000009, 0.004642, 0.000012
100, 0.000010, 0.004359, 0.000011
100, 0.000020, 0.004688, 0.000011
100, 0.000010, 0.005009, 0.000012
100, 0.000010, 0.005466, 0.000011
100, 0.000009, 0.005191, 0.000012
100, 0.000010, 0.006726, 0.000012
100, 0.000010, 0.004774, 0.000011
100, 0.000009, 0.004359, 0.000015
100, 0.000009, 0.004777, 0.000010
100, 0.000010, 0.004626, 0.000011
100, 0.000009, 0.006027, 0.000015
100, 0.000009, 0.004885, 0.000010
100, 0.000009, 0.004191, 0.000010
100, 0.000010, 0.006315, 0.000012
100, 0.000009, 0.004467, 0.000011
100, 0.000010, 0.004947, 0.000013
100, 0.000009, 0.006279, 0.000010
100, 0.000010, 0.004555, 0.000011
100, 0.000008, 0.004686, 0.000011
100, 0.000009, 0.004671, 0.000011
100, 0.000009, 0.009760, 0.000012
100, 0.000009, 0.010760, 0.000012
100, 0.000009, 0.010621, 0.000012
100, 0.000009, 0.010666, 0.000013
100, 0.000009, 0.009209, 0.000012
100, 0.000009, 0.010174, 0.000011
100, 0.000010, 0.026641, 0.000012
100, 0.000009, 0.025393, 0.000012
100, 0.000009, 0.014503, 0.000013
100, 0.000010, 0.011732, 0.000013
100, 0.000009, 0.011968, 0.000012
100, 0.000009, 0.015327, 0.000013
100, 0.000012, 0.012368, 0.000025
1000, 0.000150, 0.070565, 0.000195
1000, 0.000127, 0.060892, 0.000226
1000, 0.000140, 0.054426, 0.000363
1000, 0.000121, 0.115716, 0.000261
1000, 0.000126, 0.062318, 0.000193
1000, 0.000117, 0.042104, 0.000210
1000, 0.000121, 0.039254, 0.000225
1000, 0.000122, 0.061687, 0.000205
1000, 0.000129, 0.079368, 0.000208
1000, 0.000113, 0.082802, 0.000223
1000, 0.000124, 0.021535, 0.000300
1000, 0.000158, 0.023786, 0.000583
1000, 0.000124, 0.021101, 0.000220
1000, 0.000120, 0.020610, 0.000183
1000, 0.000156, 0.030397, 0.000421
1000, 0.000132, 0.020687, 0.000314
1000, 0.000124, 0.018971, 0.000355
1000, 0.000124, 0.022867, 0.000193
1000, 0.000124, 0.017499, 0.000292
1000, 0.000127, 0.022628, 0.000189
1000, 0.000133, 0.019470, 0.000247
1000, 0.000129, 0.051773, 0.000183
1000, 0.000129, 0.054989, 0.000210
1000, 0.000137, 0.035955, 0.000217
1000, 0.000125, 0.020603, 0.000219
1000, 0.000120, 0.023913, 0.000182
1000, 0.000124, 0.017813, 0.000211
1000, 0.000128, 0.024918, 0.000190
1000, 0.000125, 0.022694, 0.000191
1000, 0.000120, 0.019902, 0.000187
1000, 0.000123, 0.016921, 0.000187
1000, 0.000119, 0.020761, 0.000243
1000, 0.000123, 0.021506, 0.000261
1000, 0.000159, 0.022883, 0.000434
1000, 0.000161, 0.022521, 0.000193
1000, 0.000120, 0.022910, 0.000258
1000, 0.000121, 0.019609, 0.000231
1000, 0.000129, 0.022011, 0.000187
1000, 0.000123, 0.019434, 0.000192
1000, 0.000147, 0.017510, 0.000216
1000, 0.000119, 0.037221, 0.000243
1000, 0.000121, 0.046880, 0.000201
1000, 0.000145, 0.045873, 0.000224
1000, 0.000123, 0.026928, 0.000193
1000, 0.000121, 0.018419, 0.000189
1000, 0.000120, 0.014741, 0.000226
1000, 0.000134, 0.035412, 0.000251
1000, 0.000135, 0.031673, 0.000299
1000, 0.000131, 0.048367, 0.000274
1000, 0.000122, 0.034818, 0.000192
10000, 0.001929, 0.087236, 0.001777
10000, 0.001700, 0.056325, 0.001755
10000, 0.001961, 0.072351, 0.001617
10000, 0.001898, 0.044806, 0.002042
10000, 0.001640, 0.040759, 0.001567
10000, 0.001903, 0.043881, 0.001637
10000, 0.001625, 0.060345, 0.001914
10000, 0.001621, 0.066052, 0.001634
10000, 0.002110, 0.102956, 0.005927
10000, 0.001743, 0.091057, 0.001626
10000, 0.001564, 0.063206, 0.001597
10000, 0.001575, 0.040753, 0.002535
10000, 0.001581, 0.040525, 0.001865
10000, 0.001935, 0.065208, 0.006158
10000, 0.001764, 0.058700, 0.005734
10000, 0.001897, 0.088426, 0.001530
10000, 0.002057, 0.108985, 0.001588
10000, 0.001567, 0.117967, 0.001536
