Size, Seq, Par, Libc
100, 0.000009, 0.004961, 0.000013
100, 0.000009, 0.006847, 0.000013
100, 0.000010, 0.008247, 0.000016
100, 0.000009, 0.005241, 0.000013
100, 0.000011, 0.007783, 0.000018
100, 0.000012, 0.008107, 0.000012
100, 0.000010, 0.005699, 0.000012
100, 0.000009, 0.007900, 0.000012
100, 0.000011, 0.012893, 0.000015
100, 0.000011, 0.007159, 0.000013
100, 0.000009, 0.005061, 0.000012
100, 0.000009, 0.007260, 0.000012
100, 0.000011, 0.008776, 0.000012
100, 0.000010, 0.012739, 0.000015
100, 0.000011, 0.022985, 0.000016
100, 0.000011, 0.008109, 0.000012
100, 0.000011, 0.013871, 0.000016
100, 0.000011, 0.014927, 0.000019
100, 0.000010, 0.022874, 0.000016
100, 0.000010, 0.018921, 0.000016
100, 0.000011, 0.044153, 0.000016
100, 0.000010, 0.012634, 0.000015
100, 0.000011, 0.009010, 0.000017
100, 0.000012, 0.010701, 0.000015
100, 0.000011, 0.016991, 0.000015
100, 0.000011, 0.008712, 0.000013
100, 0.000009, 0.005144, 0.000011
100, 0.000009, 0.006309, 0.000011
100, 0.000009, 0.004862, 0.000011
100, 0.000009, 0.008220, 0.000011
100, 0.000009, 0.005469, 0.000021
100, 0.000009, 0.004450, 0.000073
100, 0.000008, 0.010817, 0.000012
100, 0.000008, 0.019596, 0.000011
100, 0.000009, 0.005450, 0.000011
100, 0.000008, 0.004691, 0.000010
100, 0.000010, 0.005173, 0.000011
100, 0.000009, 0.005383, 0.000011
100, 0.000009, 0.005519, 0.000011
100, 0.000009, 0.004807, 0.000011
100, 0.000009, 0.004461, 0.000011
100, 0.000009, 0.005001, 0.000011
100, 0.000009, 0.004639, 0.000010
100, 0.000008, 0.005457, 0.000016
100, 0.000009, 0.004838, 0.000012
100, 0.000009, 0.004815, 0.000010
100, 0.000009, 0.005664, 0.000015
100, 0.000137, 0.004712, 0.000017
100, 0.000011, 0.005605, 0.000012
100, 0.000020, 0.004710, 0.000011
1000, 0.000126, 0.029388, 0.000245
1000, 0.000198, 0.051978, 0.000191
1000, 0.000150, 0.042012, 0.000211
1000, 0.000141, 0.022914, 0.000236
1000, 0.000191, 0.024242, 0.000419
1000, 0.000147, 0.023231, 0.000250
1000, 0.000135, 0.023410, 0.000195
1000, 0.000149, 0.060749, 0.000272
