Size, Seq, Par, Libc
10000, 0.006108, 0.396313, 0.001934
10000, 0.007610, 0.482807, 0.003990
10000, 0.002245, 0.604075, 0.019209
10000, 0.002361, 0.674627, 0.001601
10000, 0.012688, 0.327839, 0.001942
10000, 0.001556, 0.299775, 0.011354
10000, 0.015321, 0.208708, 0.006853
10000, 0.004259, 0.370599, 0.014488
10000, 0.008761, 0.434189, 0.002269
10000, 0.002363, 0.213402, 0.007616
10000, 0.006094, 0.507519, 0.002904
10000, 0.012596, 0.875982, 0.009849
10000, 0.011504, 0.328174, 0.002153
10000, 0.018946, 0.205152, 0.001563
10000, 0.002541, 0.312901, 0.001821
100000, 0.060965, 0.675118, 0.086999
100000, 0.083077, 0.594252, 0.065809
100000, 0.076507, 0.617558, 0.110616
100000, 0.128801, 0.871704, 0.066632
100000, 0.065931, 0.481106, 0.080665
100000, 0.078376, 0.607359, 0.119291
100000, 0.064479, 0.411440, 0.059058
100000, 0.083032, 0.601637, 0.082478
100000, 0.082278, 0.762770, 0.068265
100000, 0.073144, 0.382142, 0.079326
100000, 0.068008, 0.576287, 0.070537
100000, 0.053804, 0.563867, 0.070824
100000, 0.078471, 0.517850, 0.090556
100000, 0.062246, 0.658252, 0.079291
100000, 0.070741, 0.422367, 0.093533
100000, 0.065319, 0.670959, 0.065688
100000, 0.074880, 0.504606, 0.080861
100000, 0.097550, 0.778792, 0.064230
100000, 0.070490, 0.978701, 0.058669
100000, 0.070642, 0.610018, 0.055782
100000, 0.071036, 0.681594, 0.079751
100000, 0.058444, 0.453425, 0.063130
100000, 0.076780, 0.543172, 0.082144
100000, 0.084475, 1.007002, 0.067332
100000, 0.055762, 0.442600, 0.063646
100000, 0.082100, 0.644646, 0.082640
100000, 0.048719, 0.482506, 0.060496
100000, 0.057687, 0.608831, 0.074735
100000, 0.058995, 0.504078, 0.085538
100000, 0.108683, 0.572930, 0.081435
100000, 0.085947, 0.372046, 0.060817
100000, 0.116327, 0.395179, 0.069362
100000, 0.063644, 0.513673, 0.065466
100000, 0.062017, 0.564764, 0.058901
100000, 0.091394, 0.713598, 0.117112
100000, 0.081703, 0.516049, 0.071706
100000, 0.062731, 0.480114, 0.082899
100000, 0.101776, 0.654038, 0.053283
100000, 0.064889, 0.396873, 0.074692
100000, 0.084303, 0.547968, 0.089314
100000, 0.086232, 0.593919, 0.069488
100000, 0.092166, 0.373508, 0.065591
100000, 0.061069, 0.484623, 0.059571
100000, 0.084424, 0.549732, 0.077994
100000, 0.053037, 0.817612, 0.065501
100000, 0.068792, 0.467375, 0.074619
100000, 0.071289, 0.757377, 0.052781
100000, 0.064069, 0.601115, 0.064052
100000, 0.069475, 0.366119, 0.070854
100000, 0.086803, 0.342545, 0.108921
1000000, 1.078705, 1.715354, 0.904972
1000000, 0.784808, 1.475718, 0.873322
1000000, 0.832810, 1.276419, 0.981233
1000000, 0.945216, 1.348254, 1.028209
1000000, 0.821280, 1.287647, 0.956705
1000000, 0.973869, 1.375836, 0.847209
1000000, 1.059160, 1.408329, 0.829611
1000000, 0.855796, 1.503922, 0.884110
1000000, 0.849054, 1.428212, 0.972493
1000000, 1.008378, 1.437178, 1.007582
1000000, 0.848819, 1.408735, 0.914906
1000000, 1.432920, 1.564893, 1.353923
1000000, 1.112892, 1.466910, 0.930905
1000000, 1.086833, 1.431473, 1.157545
1000000, 1.117615, 1.389019, 1.037644
1000000, 1.475027, 0.851689, 1.531436
1000000, 1.485762, 1.714942, 1.047957
1000000, 0.671932, 0.701951, 0.398463
1000000, 0.370329, 0.583332, 0.369996
1000000, 0.375979, 0.689410, 0.965974
1000000, 1.092898, 1.088991, 0.557057
1000000, 0.439466, 0.524756, 1.024570
1000000, 1.254522, 2.913189, 1.300790
1000000, 0.669332, 0.557065, 0.414760
1000000, 0.332550, 0.652404, 0.403486
1000000, 0.376969, 1.535137, 0.450435
1000000, 0.438338, 0.548143, 0.372374
1000000, 0.428034, 0.670944, 0.530395
1000000, 0.509110, 0.584756, 0.392911
1000000, 0.369631, 0.505931, 0.362238
1000000, 0.419036, 0.611488, 0.385599
1000000, 0.334718, 0.553245, 0.458656
1000000, 0.348561, 0.519264, 0.333799
1000000, 0.348570, 0.652119, 0.402946
1000000, 0.390435, 0.561291, 0.392621
1000000, 0.359852, 0.876696, 0.402177
1000000, 0.444996, 0.544943, 0.383216
1000000, 0.497559, 0.571615, 0.418594
1000000, 0.413950, 0.710275, 0.702845
1000000, 0.394133, 0.564297, 0.410610
1000000, 0.431532, 0.747640, 0.516410
1000000, 0.708479, 0.963966, 0.407817
1000000, 0.413982, 0.649422, 0.531706
1000000, 0.473996, 0.724736, 0.390935
1000000, 0.525054, 0.582414, 0.374629
1000000, 0.445422, 0.606288, 0.529933
1000000, 0.397883, 0.616141, 0.334144
1000000, 0.409680, 0.833977, 0.527392
1000000, 0.588811, 0.604164, 0.381558
1000000, 0.455103, 0.569429, 0.424654
