Size, Seq, Par, Libc
100, 0.000009, 0.006286, 0.000023
100, 0.000011, 0.014139, 0.000019
100, 0.000012, 0.006525, 0.000012
100, 0.000010, 0.003660, 0.000013
100, 0.000009, 0.017813, 0.000012
100, 0.000009, 0.008092, 0.000013
100, 0.000009, 0.008885, 0.000016
100, 0.000011, 0.005642, 0.000017
100, 0.000012, 0.008529, 0.000016
100, 0.000013, 0.007522, 0.000013
100, 0.000009, 0.006206, 0.000012
100, 0.000015, 0.010296, 0.000013
100, 0.000010, 0.008584, 0.000018
100, 0.000012, 0.014693, 0.000015
100, 0.000010, 0.007951, 0.000013
100, 0.000009, 0.003158, 0.000012
100, 0.000009, 0.003913, 0.000014
100, 0.000009, 0.010491, 0.000015
100, 0.000009, 0.008074, 0.000732
100, 0.000010, 0.004872, 0.000013
100, 0.000011, 0.027293, 0.000015
100, 0.000009, 0.003960, 0.000012
100, 0.000009, 0.004642, 0.000012
100, 0.000009, 0.008001, 0.000012
100, 0.000010, 0.010593, 0.000014
100, 0.000009, 0.013500, 0.000016
100, 0.000010, 0.004063, 0.000016
100, 0.000011, 0.014324, 0.000016
100, 0.000009, 0.012164, 0.000012
100, 0.000011, 0.010605, 0.000016
100, 0.000011, 0.011212, 0.000015
100, 0.000011, 0.007872, 0.000017
100, 0.000011, 0.008513, 0.000013
100, 0.000012, 0.004115, 0.000020
100, 0.000009, 0.017159, 0.000012
100, 0.000011, 0.007390, 0.000012
100, 0.000009, 0.004571, 0.000017
100, 0.000011, 0.004510, 0.000012
100, 0.000009, 0.007575, 0.000077
100, 0.000011, 0.006702, 0.000013
100, 0.000009, 0.006510, 0.000015
100, 0.000012, 0.027598, 0.000013
100, 0.000009, 0.013660, 0.000014
100, 0.000009, 0.021695, 0.000013
100, 0.000009, 0.009117, 0.000013
100, 0.000011, 0.027852, 0.000014
100, 0.000018, 0.006073, 0.000016
100, 0.000011, 0.009161, 0.000013
100, 0.000010, 0.010180, 0.000016
100, 0.000010, 0.033330, 0.000017
1000, 0.000117, 0.154306, 0.000497
1000, 0.000159, 0.104835, 0.000228
1000, 0.000277, 0.240044, 0.000243
1000, 0.000335, 0.066207, 0.000307
1000, 0.000361, 0.213363, 0.000378
1000, 0.000142, 0.167128, 0.000407
1000, 0.000211, 0.083734, 0.000291
1000, 0.001425, 0.080501, 0.000960
1000, 0.000123, 0.032071, 0.000221
1000, 0.000123, 0.028811, 0.000194
1000, 0.000173, 0.027291, 0.000972
1000, 0.000148, 0.035317, 0.000261
1000, 0.000376, 0.033060, 0.000384
1000, 0.000130, 0.024748, 0.000192
1000, 0.000122, 0.026607, 0.000210
1000, 0.000148, 0.054139, 0.000272
1000, 0.000133, 0.030808, 0.000189
1000, 0.000158, 0.038841, 0.000190
1000, 0.000123, 0.040157, 0.000215
1000, 0.000133, 0.033633, 0.000186
1000, 0.000224, 0.047846, 0.000479
1000, 0.000198, 0.050774, 0.000264
1000, 0.000162, 0.057135, 0.000631
1000, 0.000127, 0.026451, 0.000438
1000, 0.000138, 0.023072, 0.000231
1000, 0.000145, 0.042922, 0.000188
1000, 0.000132, 0.116576, 0.000461
1000, 0.000147, 0.044055, 0.000184
1000, 0.000119, 0.079430, 0.000222
1000, 0.000141, 0.040088, 0.000262
1000, 0.000129, 0.041703, 0.000217
1000, 0.000116, 0.066754, 0.000196
1000, 0.000120, 0.101390, 0.004855
1000, 0.000209, 0.042830, 0.000267
1000, 0.000117, 0.042765, 0.000186
1000, 0.000121, 0.044967, 0.000221
1000, 0.000149, 0.035267, 0.000323
1000, 0.000481, 0.045480, 0.000238
1000, 0.000138, 0.042931, 0.000346
1000, 0.000176, 0.057251, 0.000439
1000, 0.000124, 0.064021, 0.000375
1000, 0.000223, 0.039992, 0.000309
1000, 0.000214, 0.045515, 0.000206
1000, 0.000117, 0.053299, 0.000247
1000, 0.000118, 0.051895, 0.000198
