Size, Seq, Par, Libc
100, 0.000009, 0.005724, 0.000021
100, 0.000011, 0.018886, 0.000017
100, 0.000010, 0.003460, 0.000012
100, 0.000009, 0.003860, 0.000013
100, 0.000009, 0.003612, 0.000012
100, 0.000009, 0.008137, 0.000015
100, 0.000009, 0.005814, 0.000015
100, 0.000032, 0.022799, 0.000017
100, 0.000011, 0.007105, 0.000018
100, 0.000009, 0.006784, 0.000013
100, 0.000010, 0.009272, 0.000014
100, 0.000010, 0.007223, 0.000016
100, 0.000009, 0.003469, 0.000012
100, 0.000009, 0.011263, 0.000017
100, 0.000008, 0.010102, 0.000016
100, 0.000009, 0.006293, 0.000016
100, 0.000009, 0.008153, 0.000016
100, 0.000010, 0.005618, 0.000014
100, 0.000009, 0.005979, 0.000017
100, 0.000009, 0.003509, 0.000017
100, 0.000012, 0.011998, 0.000015
100, 0.000010, 0.005918, 0.000013
100, 0.000009, 0.005534, 0.000011
100, 0.000010, 0.006565, 0.000015
100, 0.000010, 0.006066, 0.000013
100, 0.000009, 0.004826, 0.000014
100, 0.000009, 0.004963, 0.000013
100, 0.000012, 0.005798, 0.000016
100, 0.000010, 0.026589, 0.000016
100, 0.000009, 0.005105, 0.000012
100, 0.000009, 0.004046, 0.000015
100, 0.000028, 0.013253, 0.000018
100, 0.000009, 0.008162, 0.000017
100, 0.000011, 0.025698, 0.000012
100, 0.000009, 0.003169, 0.000012
100, 0.000009, 0.008190, 0.000013
100, 0.000009, 0.006160, 0.000014
100, 0.000010, 0.008738, 0.000014
100, 0.000026, 0.012522, 0.000018
100, 0.000012, 0.007065, 0.000013
100, 0.000013, 0.013242, 0.000012
100, 0.000009, 0.005420, 0.000017
100, 0.000011, 0.005912, 0.000018
100, 0.000010, 0.005605, 0.000015
100, 0.000009, 0.003750, 0.000012
100, 0.000012, 0.012035, 0.000014
100, 0.000012, 0.008548, 0.000019
100, 0.000011, 0.004444, 0.000013
100, 0.000010, 0.003060, 0.000011
100, 0.000009, 0.004770, 0.000013
1000, 0.000146, 0.042905, 0.000200
1000, 0.000123, 0.022132, 0.000311
1000, 0.000124, 0.049685, 0.000205
1000, 0.000126, 0.045383, 0.000293
1000, 0.000323, 0.038146, 0.000253
1000, 0.000143, 0.039742, 0.000196
1000, 0.000122, 0.065705, 0.000207
1000, 0.000118, 0.028659, 0.000416
1000, 0.000226, 0.066436, 0.000206
1000, 0.000123, 0.038073, 0.000362
1000, 0.000141, 0.035504, 0.000372
1000, 0.000256, 0.031972, 0.000206
1000, 0.000336, 0.083995, 0.000248
1000, 0.000156, 0.079983, 0.002368
1000, 0.000118, 0.146060, 0.000922
1000, 0.000163, 0.208834, 0.000248
1000, 0.000306, 0.087198, 0.000258
1000, 0.000138, 0.060515, 0.000258
1000, 0.000150, 0.064682, 0.000708
1000, 0.000136, 0.046662, 0.000205
1000, 0.000117, 0.046828, 0.000293
1000, 0.000119, 0.048721, 0.000292
1000, 0.000116, 0.018652, 0.000238
1000, 0.000245, 0.056758, 0.000272
1000, 0.000116, 0.035558, 0.000314
1000, 0.000140, 0.044870, 0.000188
1000, 0.000116, 0.040113, 0.000428
1000, 0.001239, 0.069710, 0.000242
1000, 0.000139, 0.063938, 0.000326
1000, 0.000812, 0.069614, 0.000194
1000, 0.001941, 0.091912, 0.000288
1000, 0.000267, 0.042649, 0.000230
1000, 0.000117, 0.067963, 0.000182
1000, 0.000116, 0.062002, 0.000230
1000, 0.000293, 0.068269, 0.000313
1000, 0.000119, 0.053561, 0.000187
1000, 0.000209, 0.057623, 0.000533
1000, 0.000135, 0.039159, 0.000194
1000, 0.000518, 0.050855, 0.002068
1000, 0.000216, 0.052909, 0.000271
1000, 0.000131, 0.031701, 0.000328
1000, 0.000115, 0.083391, 0.000373
1000, 0.004340, 0.050544, 0.000214
1000, 0.000118, 0.026454, 0.000203
1000, 0.000118, 0.031414, 0.000298
1000, 0.000118, 0.012180, 0.000444
1000, 0.000523, 0.027971, 0.000199
1000, 0.000125, 0.024360, 0.000448
1000, 0.000138, 0.029196, 0.000336
1000, 0.000150, 0.031114, 0.000191
10000, 0.004589, 0.142124, 0.008361
10000, 0.002438, 0.099755, 0.002014
10000, 0.005255, 0.111932, 0.001708
10000, 0.001749, 0.197882, 0.001648
10000, 0.014798, 0.218125, 0.005406
10000, 0.003518, 0.145479, 0.002968
10000, 0.001566, 0.164804, 0.001734
10000, 0.001949, 0.142258, 0.002557
10000, 0.001535, 0.174102, 0.002451
10000, 0.002085, 0.115143, 0.001755
10000, 0.001653, 0.163531, 0.001568
10000, 0.002790, 0.108014, 0.004040
10000, 0.002218, 0.298639, 0.009679
10000, 0.002180, 0.176225, 0.002340
10000, 0.002748, 0.161848, 0.003626
10000, 0.002370, 0.187445, 0.002215
10000, 0.002652, 0.200186, 0.002213
10000, 0.002246, 0.179574, 0.001849
10000, 0.002252, 0.129148, 0.002892
10000, 0.003054, 0.093163, 0.007691
10000, 0.002086, 0.110463, 0.002786
10000, 0.003007, 0.132967, 0.005755
