Size, Seq, Par, Libc
100, 0.000010, 0.005817, 0.000016
100, 0.000011, 0.015232, 0.000013
100, 0.000009, 0.006446, 0.000012
100, 0.000010, 0.006184, 0.000020
100, 0.000012, 0.009645, 0.000011
100, 0.000012, 0.009317, 0.000014
100, 0.000012, 0.018636, 0.000016
100, 0.000010, 0.011231, 0.000013
100, 0.000009, 0.004502, 0.000015
100, 0.000011, 0.008502, 0.000013
100, 0.000010, 0.004130, 0.000011
100, 0.000009, 0.004254, 0.000012
100, 0.000011, 0.030179, 0.000015
100, 0.000010, 0.009866, 0.000017
100, 0.000010, 0.015113, 0.000012
100, 0.000009, 0.003724, 0.000013
100, 0.000010, 0.025924, 0.000017
100, 0.000010, 0.004691, 0.000031
100, 0.000010, 0.005540, 0.000015
100, 0.000011, 0.005850, 0.000015
100, 0.000011, 0.004564, 0.000012
100, 0.000013, 0.007669, 0.000012
100, 0.000010, 0.009894, 0.000013
100, 0.000011, 0.010293, 0.000013
100, 0.000012, 0.005848, 0.000013
100, 0.000010, 0.005950, 0.000017
100, 0.000013, 0.011227, 0.000012
100, 0.000009, 0.003579, 0.000012
100, 0.000010, 0.004205, 0.000016
100, 0.000010, 0.021950, 0.000016
100, 0.000009, 0.003588, 0.000011
100, 0.000012, 0.007101, 0.000011
100, 0.000009, 0.006046, 0.000016
100, 0.000012, 0.008959, 0.000013
100, 0.000011, 0.008885, 0.000031
100, 0.000012, 0.016827, 0.000013
100, 0.000012, 0.014794, 0.000013
100, 0.000009, 0.005250, 0.000012
100, 0.000012, 0.011704, 0.000011
100, 0.000010, 0.003583, 0.000011
100, 0.000011, 0.015836, 0.000018
100, 0.000011, 0.009155, 0.000013
100, 0.000009, 0.009028, 0.000017
100, 0.000011, 0.005316, 0.000012
100, 0.000009, 0.006597, 0.000013
100, 0.000008, 0.009551, 0.000015
100, 0.000011, 0.014452, 0.000013
100, 0.000011, 0.008021, 0.000016
100, 0.000009, 0.008842, 0.000013
100, 0.000010, 0.016079, 0.000019
1000, 0.000149, 0.052814, 0.000379
1000, 0.000118, 0.061698, 0.000280
1000, 0.000136, 0.052928, 0.000258
1000, 0.000146, 0.129597, 0.000318
1000, 0.000153, 0.049816, 0.000199
1000, 0.000122, 0.055998, 0.000246
1000, 0.000161, 0.070335, 0.000259
1000, 0.000118, 0.053526, 0.000197
1000, 0.000118, 0.047074, 0.000194
1000, 0.000194, 0.039837, 0.000253
1000, 0.000126, 0.050751, 0.000264
1000, 0.000123, 0.051012, 0.000281
1000, 0.000145, 0.034252, 0.000211
1000, 0.000138, 0.062506, 0.000202
1000, 0.000122, 0.060652, 0.000215
1000, 0.000117, 0.043089, 0.000335
1000, 0.000112, 0.023995, 0.000272
1000, 0.000152, 0.048825, 0.000305
1000, 0.000117, 0.042095, 0.000196
1000, 0.000135, 0.045308, 0.000287
1000, 0.000116, 0.028628, 0.000325
1000, 0.000118, 0.022440, 0.000438
1000, 0.000132, 0.060799, 0.000196
1000, 0.000117, 0.042249, 0.000229
1000, 0.000113, 0.042172, 0.000305
1000, 0.000245, 0.044264, 0.000348
1000, 0.000160, 0.054327, 0.000332
1000, 0.000121, 0.044088, 0.000245
1000, 0.000135, 0.032419, 0.000376
1000, 0.000114, 0.047013, 0.000260
1000, 0.000113, 0.047914, 0.000287
1000, 0.000138, 0.053355, 0.000288
1000, 0.000362, 0.072424, 0.000252
1000, 0.000129, 0.154943, 0.000269
1000, 0.000196, 0.238192, 0.000267
1000, 0.000148, 0.165957, 0.000466
1000, 0.000143, 0.061452, 0.000331
1000, 0.000130, 0.028022, 0.000207
1000, 0.000119, 0.068937, 0.000203
1000, 0.000137, 0.060319, 0.000193
1000, 0.000122, 0.033000, 0.000243
1000, 0.000148, 0.051918, 0.002304
1000, 0.000247, 0.036670, 0.000219
1000, 0.000122, 0.075100, 0.000238
1000, 0.000121, 0.052103, 0.000205
1000, 0.000120, 0.047964, 0.000237
1000, 0.000155, 0.056663, 0.000306
1000, 0.000118, 0.037079, 0.000366
1000, 0.000122, 0.070660, 0.000530
1000, 0.000119, 0.098011, 0.000262
10000, 0.021995, 0.217284, 0.001687
10000, 0.001789, 0.176553, 0.002226
10000, 0.002150, 0.143624, 0.001614
10000, 0.002274, 0.125887, 0.002377
10000, 0.003408, 0.118833, 0.004518
10000, 0.002115, 0.074743, 0.005299
10000, 0.001690, 0.078070, 0.001932
10000, 0.004779, 0.119093, 0.003311
10000, 0.004005, 0.092588, 0.001858
10000, 0.001759, 0.187282, 0.001537
10000, 0.002201, 0.078123, 0.001553
10000, 0.001971, 0.098710, 0.003450
10000, 0.002061, 0.094962, 0.001837
10000, 0.003502, 0.158761, 0.001727
10000, 0.001766, 0.095821, 0.001805
10000, 0.003729, 0.138472, 0.001547
10000, 0.001909, 0.135881, 0.001657
10000, 0.001688, 0.081644, 0.001634
10000, 0.001859, 0.159131, 0.004994
10000, 0.002287, 0.075853, 0.001976
10000, 0.007318, 0.153980, 0.002163
10000, 0.002359, 0.304742, 0.004186
10000, 0.001727, 0.150760, 0.010562
10000, 0.002529, 0.118484, 0.004667
10000, 0.002842, 0.306810, 0.003262
10000, 0.001633, 0.195770, 0.002273
10000, 0.001810, 0.136795, 0.006513
10000, 0.003846, 0.099567, 0.001978
10000, 0.001685, 0.161316, 0.003287
10000, 0.001746, 0.068811, 0.001818
10000, 0.002033, 0.134969, 0.002305
10000, 0.003326, 0.109407, 0.001617
10000, 0.002229, 0.101474, 0.006099
10000, 0.002125, 0.178053, 0.001589
10000, 0.002127, 0.194054, 0.002017
10000, 0.002158, 0.133068, 0.011429
10000, 0.002019, 0.117725, 0.012949
10000, 0.001962, 0.109824, 0.001551
10000, 0.008784, 0.103412, 0.002105
10000, 0.001671, 0.163357, 0.007921
10000, 0.001695, 0.098888, 0.001698
10000, 0.002671, 0.118816, 0.002317
10000, 0.001685, 0.091575, 0.002919
10000, 0.001944, 0.135388, 0.002791
10000, 0.004836, 0.120787, 0.004436
10000, 0.002429, 0.129271, 0.006364
10000, 0.002150, 0.252629, 0.004227
10000, 0.004422, 0.175343, 0.001777
10000, 0.002263, 0.084892, 0.005972
10000, 0.001905, 0.115179, 0.001569
100000, 0.026476, 0.198103, 0.031552
100000, 0.022827, 0.242746, 0.025592
100000, 0.033866, 0.302101, 0.031849
100000, 0.029592, 0.217606, 0.037155
100000, 0.036350, 0.388654, 0.030659
100000, 0.027510, 0.181851, 0.028681
100000, 0.039313, 0.243243, 0.032473
100000, 0.047520, 0.203060, 0.029918
100000, 0.030266, 0.108510, 0.035834
100000, 0.022595, 0.179846, 0.041007
100000, 0.028132, 0.143867, 0.031881
100000, 0.030381, 0.267616, 0.055417
100000, 0.044015, 0.211892, 0.046279
100000, 0.051183, 0.162051, 0.030740
100000, 0.032560, 0.175228, 0.035795
100000, 0.033219, 0.296882, 0.042740
100000, 0.035141, 0.234336, 0.037591
100000, 0.024613, 0.257104, 0.034921
100000, 0.024386, 0.163168, 0.022758
100000, 0.039729, 0.167264, 0.027895
100000, 0.036994, 0.247227, 0.025728
100000, 0.047130, 0.475645, 0.035977
100000, 0.023203, 0.317832, 0.035006
100000, 0.025839, 0.274424, 0.057166
100000, 0.047065, 0.225769, 0.031875
100000, 0.027403, 0.232395, 0.025338
100000, 0.029969, 0.235546, 0.050712
100000, 0.035726, 0.235357, 0.038129
100000, 0.028651, 0.184287, 0.034800
100000, 0.035919, 0.199221, 0.045164
100000, 0.024756, 0.163960, 0.032272
100000, 0.026458, 0.213337, 0.032784
100000, 0.026535, 0.217681, 0.035845
100000, 0.029038, 0.195851, 0.033089
100000, 0.039670, 0.185621, 0.034738
100000, 0.022939, 0.235041, 0.033523
100000, 0.034718, 0.198985, 0.033208
100000, 0.039099, 0.530251, 0.054203
100000, 0.027088, 0.369137, 0.034624
100000, 0.033147, 0.385932, 0.033206
100000, 0.037509, 0.200405, 0.032054
100000, 0.028084, 0.406136, 0.045067
100000, 0.026501, 0.295967, 0.026627
100000, 0.039275, 0.313833, 0.024480
