Size, Seq, Par, Libc
100, 0.000011, 0.008084, 0.000016
100, 0.000011, 0.007064, 0.000018
100, 0.000011, 0.006013, 0.000012
100, 0.000010, 0.007144, 0.000013
100, 0.000009, 0.006201, 0.000026
100, 0.000010, 0.016141, 0.000017
100, 0.000009, 0.006818, 0.000012
100, 0.000011, 0.008151, 0.000015
100, 0.000011, 0.006549, 0.000015
100, 0.000012, 0.006937, 0.000012
100, 0.000011, 0.008490, 0.000012
100, 0.000011, 0.007130, 0.000016
100, 0.000010, 0.009593, 0.000012
100, 0.000009, 0.003291, 0.000012
100, 0.000009, 0.003720, 0.000012
100, 0.000010, 0.009634, 0.000013
100, 0.000011, 0.011384, 0.000012
100, 0.000010, 0.009240, 0.000013
100, 0.000011, 0.005978, 0.000016
100, 0.000009, 0.014809, 0.000011
100, 0.000009, 0.003374, 0.000015
100, 0.000010, 0.009624, 0.000011
100, 0.000009, 0.007612, 0.000015
100, 0.000009, 0.015418, 0.000074
100, 0.000010, 0.007387, 0.000013
100, 0.000009, 0.007746, 0.000011
100, 0.000009, 0.014440, 0.000016
100, 0.000009, 0.030275, 0.000016
100, 0.000012, 0.023287, 0.000013
100, 0.000009, 0.046575, 0.000019
100, 0.000009, 0.014194, 0.000012
100, 0.000009, 0.010785, 0.000020
100, 0.000013, 0.005109, 0.000012
100, 0.000009, 0.005685, 0.000061
100, 0.000010, 0.023119, 0.000013
100, 0.000011, 0.010893, 0.000013
100, 0.000009, 0.009557, 0.000012
100, 0.000009, 0.006112, 0.000012
100, 0.000009, 0.007342, 0.000013
100, 0.000009, 0.014525, 0.000012
100, 0.000010, 0.018042, 0.000122
100, 0.000009, 0.004689, 0.000012
100, 0.000009, 0.012667, 0.000013
100, 0.000009, 0.004244, 0.000012
100, 0.000009, 0.005468, 0.000013
100, 0.000009, 0.022586, 0.000013
100, 0.000009, 0.010460, 0.000012
100, 0.000009, 0.003959, 0.000012
100, 0.000008, 0.014185, 0.000013
100, 0.000009, 0.013878, 0.000020
1000, 0.000145, 0.065717, 0.000667
1000, 0.000137, 0.042433, 0.000241
1000, 0.000135, 0.052785, 0.000332
1000, 0.000122, 0.040502, 0.000208
1000, 0.000122, 0.063780, 0.000193
1000, 0.000174, 0.048914, 0.000267
1000, 0.000149, 0.039862, 0.000322
1000, 0.000122, 0.067186, 0.000250
1000, 0.000123, 0.041639, 0.000199
1000, 0.000139, 0.056313, 0.000186
1000, 0.000121, 0.029593, 0.000656
1000, 0.000140, 0.073077, 0.000421
1000, 0.000123, 0.033526, 0.000552
1000, 0.000122, 0.046610, 0.000296
1000, 0.000122, 0.067537, 0.000186
1000, 0.000144, 0.083020, 0.000206
1000, 0.000122, 0.068909, 0.000318
